Mon Feb 13 17:17:20 2023    profile.txt

         44404943 function calls (43686407 primitive calls) in 132.573 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   364128   65.188    0.000   65.197    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
    69675    9.589    0.000    9.754    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\constant_op.py:74(convert_to_eager_tensor)
79218/7218    2.322    0.000   47.587    0.007 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:987(__call__)
477330/404890    2.146    0.000   52.201    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\dispatch.py:1162(op_dispatch_handler)
   995141    1.731    0.000    1.731    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\context.py:950(executing_eagerly)
  1338504    1.682    0.000    1.784    0.000 {built-in method builtins.getattr}
      100    1.449    0.014   86.186    0.862 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard\agent.py:77(learn)
     3563    1.296    0.000    1.296    0.000 {built-in method io.open_code}
        1    1.294    1.294    1.372    1.372 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\gym3\libenv.py:64(__init__)
   756938    1.292    0.000    1.297    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
     3200    1.213    0.000   49.278    0.015 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeGradient}
223856/223838    1.110    0.000    6.748    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:809(map_structure)
4990174/4966174    0.994    0.000    1.347    0.000 {built-in method builtins.isinstance}
    99200    0.807    0.000   47.581    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\backprop.py:127(_gradient_function)
495102/404928    0.797    0.000   54.375    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\traceback_utils.py:138(error_handler)
   126400    0.789    0.000    3.718    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\backprop.py:81(make_attr)
     7200    0.747    0.000   44.689    0.006 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\functional.py:624(_run_internal_graph)
     2002    0.698    0.000    0.731    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\gym3\libenv.py:344(observe)
    21606    0.680    0.000   20.999    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\layers\convolutional\base_conv.py:272(call)
   814562    0.645    0.000    0.646    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
    19155    0.629    0.000    0.629    0.000 {built-in method nt.stat}
    79220    0.601    0.000    2.082    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\input_spec.py:169(assert_input_compatibility)
   289864    0.592    0.000    1.905    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:764(__init__)
   661720    0.573    0.000    1.794    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\context.py:2149(executing_eagerly)
   129264    0.498    0.000    1.070    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:6974(__enter__)
182570/182554    0.498    0.000   10.839    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:1568(convert_to_tensor)
   253478    0.468    0.000    2.723    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:652(_pack_sequence_as)
   384464    0.449    0.000    1.941    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:1252(shape)
   760266    0.434    0.000    1.730    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:356(flatten)
   258492    0.423    0.000    0.423    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\context.py:967(scope_name)
1220296/1220292    0.421    0.000    1.472    0.000 {built-in method builtins.hasattr}
   186704    0.410    0.000    0.411    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\dtypes.py:215(__eq__)
   587890    0.410    0.000    0.814    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:722(as_dimension)
   628168    0.409    0.000    1.153    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:774(<genexpr>)
   271412    0.401    0.000    1.154    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:6721(name_scope)
    83324    0.393    0.000    0.828    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\tf_decorator.py:61(make_decorator)
   105302    0.387    0.000    0.976    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:185(_sequence_like)
   126400    0.341    0.000    4.161    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\backprop.py:111(get_attr)
     3563    0.322    0.000    0.322    0.000 {built-in method marshal.loads}
    79203    0.314    0.000    0.792    0.000 C:\Users\mailv\miniconda3\lib\contextlib.py:533(__exit__)
105302/77300    0.301    0.000    1.030    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:612(_packed_nest_with_indices)
340020/339785    0.294    0.000    1.065    0.000 {built-in method builtins.any}
    17207    0.288    0.000    0.408    0.000 C:\Users\mailv\miniconda3\lib\inspect.py:3046(_bind)
    21606    0.286    0.000   13.142    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_ops.py:1197(convolution_internal)
   588754    0.271    0.000    1.509    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\traceback_utils.py:32(is_traceback_filtering_enabled)
    64818    0.264    0.000    0.760    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:2688(_maybe_cast_inputs)
    21606    0.255    0.000    5.342    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_ops.py:4846(max_pool)
   561060    0.254    0.000    0.306    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:198(__init__)
     7208    0.251    0.000    0.251    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
